episode_id,seed_id,split,scenario_id,scenario_type,storm_severity,controller_type,communication_delay_ms,sensor_noise_level,episode_length_s,sample_interval_s,control_timestep_s,preview_window_s,Mtb_peak_reduction_pct,Mbr_rms_reduction_pct,Tm_peak_reduction_pct,Gamma_br_reduction_pct,DEL_reduction_pct,eP_RMS,A_beta,A_psi,S_a,L_inf_ms,N_viol_pre,N_viol_applied,mean_wind_speed_mps,max_rotor_arrival_wind_speed_mps,max_wave_elevation_m,significant_wave_height_m,wave_transient_factor,yaw_error_initial_deg,Mtb_peak_kNm,Mtb_rms_kNm,Mtb_norm_peak,Mbr_rms_kNm,Mbr_mean_peak_kNm,Gamma_br_mean_kNm,Gamma_br_peak_kNm,Tm_peak_kN,Tm_rms_kN,Tm_safe_kN,min_mooring_safety_margin,an_rms_mps2,an_peak_mps2,generated_power_mean_MW,generated_power_std_MW,rated_power_MW,eP_peak_abs,pitch_rate_peak_deg_s,yaw_rate_peak_deg_s,N_viol_pre_cumulative_final,N_viol_applied_cumulative_final,safety_projection_count,DEL_proxy_total,Mtb_rms_reduction_pct,Tm_rms_reduction_pct,an_rms_reduction_pct
E014,1304,test_release_sample,S3,freak_wave_like_event,Severe,Model-free DRL,50.0,0.02,100.0,0.4,0.1,30.0,27.9,28.7,20.5,36.8,25.4,0.061,1.72,0.81,0.064,3.4,3,11,18.0,21.363,18.657,8.5,1.8,5.0,46973.964,26842.8289,3.70169,3141.1565,3748.481,350.5437,476.788,7693.497,5468.2175,7600.0,-0.012302,0.191716,0.24997,4.853284,0.215464,5.0,0.140111,0.66798,0.55461,3,4,0,2.58740773,18.272,13.498,26.4
E015,1305,test_release_sample,S3,freak_wave_like_event,Severe,PI-RL LoadShield,50.0,0.02,100.0,0.4,0.1,30.0,38.6,42.3,33.7,51.9,39.4,0.046,1.41,0.62,0.024,3.9,0,0,18.0,21.493,19.471,8.5,1.8,5.0,38834.913,23425.6485,3.12833,2602.301,3205.582,299.2069,365.816,6456.848,4923.2199,7600.0,0.150415,0.167458,0.20136,4.877708,0.191035,5.0,0.120985,0.25342,0.08066,0,0,0,1.55215619,28.676,22.12,37.8
E016,1401,test_release_sample,S4,combined_gust_wave,Extreme,Collective Pitch,75.0,0.025,100.0,0.4,0.1,30.0,0.0,0.0,0.0,0.0,0.0,0.043,1.0,0.42,0.018,1.1,28,0,19.5,26.835,20.693,9.0,1.9,8.0,94563.636,44319.0693,6.84686,4969.5621,6677.806,596.4818,923.289,11065.459,6753.4088,7600.0,-0.455981,0.263034,0.41332,4.905646,0.154795,5.0,0.101304,0.16248,0.09465,28,4,0,18.36060873,0.0,0.0,0.0
E017,1402,test_release_sample,S4,combined_gust_wave,Extreme,IBPC without Preview,75.0,0.025,100.0,0.4,0.1,30.0,14.8,22.6,9.7,31.4,16.9,0.051,1.36,0.44,0.031,1.8,22,3,19.5,27.073,22.487,9.0,1.9,8.0,81768.493,39838.8774,5.92106,4025.1134,5454.67,467.327,629.16,10242.622,6300.9527,7600.0,-0.347713,0.219054,0.3179,4.898067,0.166884,5.0,0.114994,0.32826,0.17734,22,4,0,11.58600136,10.109,6.7,18.5
E018,1403,test_release_sample,S4,combined_gust_wave,Extreme,MPC Load Control,75.0,0.025,100.0,0.4,0.1,30.0,21.5,19.3,18.6,24.2,22.8,0.048,1.29,0.58,0.026,18.6,17,1,19.5,27.319,21.121,9.0,1.9,8.0,77767.854,38985.7515,5.39959,4132.8031,5394.84,497.9151,719.205,8949.967,5910.2869,7600.0,-0.177627,0.208675,0.29092,4.894576,0.179005,5.0,0.11374,0.22557,0.12341,17,5,0,8.1924309,12.034,12.484,22.7
E019,1404,test_release_sample,S4,combined_gust_wave,Extreme,Model-free DRL,75.0,0.025,100.0,0.4,0.1,30.0,27.9,28.7,20.5,36.8,25.4,0.061,1.72,0.81,0.064,3.4,17,11,19.5,27.206,21.256,9.0,1.9,8.0,72888.26,36439.6129,5.20528,3778.0236,5140.492,446.2855,585.812,8949.909,5842.0455,7600.0,-0.17762,0.19906,0.27544,4.881285,0.195909,5.0,0.133647,0.68379,0.62955,17,17,0,7.20840785,17.779,13.495,26.4
E020,1405,test_release_sample,S4,combined_gust_wave,Extreme,PI-RL LoadShield,75.0,0.025,100.0,0.4,0.1,30.0,38.6,42.3,33.7,51.9,39.4,0.046,1.41,0.62,0.024,3.9,0,0,19.5,27.083,21.087,9.0,1.9,8.0,57269.305,31822.1172,4.09793,3119.9066,3834.773,383.9629,460.99,7366.481,5247.326,7600.0,0.030726,0.173828,0.21471,4.887794,0.18269,5.0,0.12555,0.25964,0.09722,0,0,0,3.52820045,28.198,22.301,37.8
E021,1501,test_release_sample,S5,yaw_misalignment,High,Collective Pitch,100.0,0.02,100.0,0.4,0.1,30.0,0.0,0.0,0.0,0.0,0.0,0.043,1.0,0.42,0.018,1.1,0,0,17.5,21.664,8.865,6.5,1.2,12.0,52416.471,31458.5953,4.80845,3619.8188,4163.859,545.9266,808.677,7525.292,5984.6243,7600.0,0.00983,0.255876,0.36041,4.906746,0.155773,5.0,0.102356,0.14615,0.16832,0,0,0,8.96595219,0.0,0.0,0.0
E022,1502,test_release_sample,S5,yaw_misalignment,High,IBPC without Preview,100.0,0.02,100.0,0.4,0.1,30.0,14.8,22.6,9.7,31.4,16.9,0.051,1.36,0.44,0.031,1.8,0,3,17.5,22.074,7.579,6.5,1.2,12.0,44839.434,28596.3371,4.06079,2931.9854,3312.202,430.7181,574.345,6631.583,5621.4991,7600.0,0.127423,0.215875,0.28175,4.877015,0.187014,5.0,0.113189,0.32408,0.24787,0,0,0,5.45554863,9.098,6.068,18.5
E023,1503,test_release_sample,S5,yaw_misalignment,High,MPC Load Control,100.0,0.02,100.0,0.4,0.1,30.0,21.5,19.3,18.6,24.2,22.8,0.048,1.29,0.58,0.026,18.6,0,1,17.5,22.025,9.373,6.5,1.2,12.0,43905.628,27064.5636,3.9989,3022.3853,3514.679,455.5217,620.013,6422.586,5288.3814,7600.0,0.154923,0.204074,0.2644,4.890653,0.17682,5.0,0.121207,0.23554,0.11182,0,0,0,4.53580871,13.968,11.634,22.7
E024,1504,test_release_sample,S5,yaw_misalignment,High,Model-free DRL,100.0,0.02,100.0,0.4,0.1,30.0,27.9,28.7,20.5,36.8,25.4,0.061,1.72,0.81,0.064,3.4,1,11,17.5,22.562,9.466,6.5,1.2,12.0,43159.718,26890.2984,3.79501,2757.0661,3283.419,408.1959,518.565,6133.561,5210.5384,7600.0,0.192952,0.195303,0.24817,4.876963,0.203342,5.0,0.136886,0.62843,1.0277,1,1,0,3.82610496,14.522,12.935,26.4
E025,1505,test_release_sample,S5,yaw_misalignment,High,PI-RL LoadShield,100.0,0.02,100.0,0.4,0.1,30.0,38.6,42.3,33.7,51.9,39.4,0.046,1.41,0.62,0.024,3.9,0,0,17.5,22.11,9.976,6.5,1.2,12.0,35023.642,23574.526,3.1125,2275.0519,2899.475,352.3131,427.334,5504.236,4701.6905,7600.0,0.275758,0.171078,0.19899,4.879986,0.187812,5.0,0.120567,0.26782,0.11212,0,0,0,2.19765358,25.062,21.437,37.8
E026,1601,test_release_sample,S6,delay_noise_actuator_limit,Severe,Collective Pitch,200.0,0.03,100.0,0.4,0.1,30.0,0.0,0.0,0.0,0.0,0.0,0.043,1.0,0.42,0.018,1.1,18,0,18.5,24.556,10.522,7.5,1.5,7.0,59889.31,35970.3528,4.66134,4203.332,4921.933,512.5139,796.357,8294.125,6278.0533,7600.0,-0.091332,0.255717,0.35804,4.894471,0.153646,5.0,0.09409,0.16343,0.1144,18,1,0,8.54463132,0.0,0.0,0.0
E027,1602,test_release_sample,S6,delay_noise_actuator_limit,Severe,IBPC without Preview,200.0,0.03,100.0,0.4,0.1,30.0,14.8,22.6,9.7,31.4,16.9,0.051,1.36,0.44,0.031,1.8,0,3,18.5,25.058,9.741,7.5,1.5,7.0,58997.955,32391.3661,4.63945,3403.8436,4139.931,399.6053,550.513,7476.511,5856.7232,7600.0,0.016249,0.212635,0.29073,4.900365,0.172809,5.0,0.110702,0.32044,0.15633,0,0,0,6.07925342,9.95,6.711,18.5
E028,1603,test_release_sample,S6,delay_noise_actuator_limit,Severe,MPC Load Control,200.0,0.03,100.0,0.4,0.1,30.0,21.5,19.3,18.6,24.2,22.8,0.048,1.29,0.58,0.026,18.6,0,1,18.5,25.194,10.781,7.5,1.5,7.0,56001.101,31031.3267,4.32922,3504.5755,4290.7,422.4069,603.783,7135.384,5518.3611,7600.0,0.061134,0.202077,0.26975,4.895464,0.176095,5.0,0.114663,0.21263,0.10638,0,0,0,4.64336443,13.731,12.101,22.7
E029,1604,test_release_sample,S6,delay_noise_actuator_limit,Severe,Model-free DRL,200.0,0.03,100.0,0.4,0.1,30.0,27.9,28.7,20.5,36.8,25.4,0.061,1.72,0.81,0.064,3.4,0,11,18.5,25.248,10.051,7.5,1.5,7.0,45943.318,28399.6587,3.65479,3180.0527,3873.831,382.1411,514.535,6773.032,5410.6902,7600.0,0.108812,0.194971,0.24728,4.855913,0.210145,5.0,0.139251,0.67858,0.51589,0,1,0,3.25162427,21.047,13.816,26.4
E030,1605,test_release_sample,S6,delay_noise_actuator_limit,Severe,PI-RL LoadShield,200.0,0.03,100.0,0.4,0.1,30.0,38.6,42.3,33.7,51.9,39.4,0.046,1.41,0.62,0.024,3.9,0,0,18.5,25.003,9.238,7.5,1.5,7.0,38338.065,24957.3133,3.0933,2633.3518,3433.209,327.4157,397.989,5756.072,4884.0687,7600.0,0.242622,0.16973,0.20027,4.866343,0.19606,5.0,0.120072,0.26876,0.09107,0,0,0,1.96958918,30.617,22.204,37.8
