episode_id,seed_id,split,scenario_id,scenario_type,storm_severity,controller_type,time_s,scenario_phase,control_timestep_s,sample_interval_s,communication_delay_ms,sensor_noise_level,gust_start_s,wave_event_start_s,yaw_error_initial_deg,mean_wind_speed_mps,wind_speed_mps,rotor_arrival_wind_speed_mps,wind_direction_deg,turbulence_intensity,lidar_preview_wind_speed_5s_mps,lidar_preview_wind_speed_10s_mps,lidar_preview_wind_speed_20s_mps,lidar_preview_wind_speed_30s_mps,lidar_preview_direction_30s_deg,preview_confidence,wave_elevation_m,significant_wave_height_m,wave_transient_factor,platform_pitch_deg,platform_pitch_rate_deg_s,platform_surge_m,platform_heave_m,yaw_misalignment_deg,rotor_speed_rpm,generator_speed_rpm,blade_pitch_1_deg,blade_pitch_2_deg,blade_pitch_3_deg,yaw_angle_deg,M_tb_kNm,M_tb_norm,M_br_1_kNm,M_br_2_kNm,M_br_3_kNm,M_br_mean_kNm,Gamma_br_kNm,T_m_kN,T_m_safe_kN,a_n_mps2,generated_power_MW,rated_power_MW,e_P,delta_beta_1_deg,delta_beta_2_deg,delta_beta_3_deg,delta_yaw_deg,pitch_rate_1_deg_s,pitch_rate_2_deg_s,pitch_rate_3_deg_s,yaw_rate_deg_s,mooring_safety_margin,raw_action_violation,applied_action_violation,safety_projection_active,N_viol_pre_cumulative,N_viol_applied_cumulative,DEL_proxy_increment,load_reduction_reference
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,4,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.246,15.225,225.092,0.1,15.268,14.903,15.364,15.164,227.005,0.884,1.263,5,0,1.797,0.148,0.484,0.373,2.586,12.212,1188.05,8.565,8.565,8.565,222.518,18838.899,1.89947,2996.2,2609.11,3383.29,2996.2,258.06,5732.51,7600,0.21048,5.01966,5,0.003932,-0.02239,-0.02239,-0.02239,0.01181,-0.12777,-0.12777,-0.12777,-0.00347,0.245722,0,0,0,0,0,0.00533741,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,4.4,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.056,15.267,225.734,0.1,15.23,15.05,15.362,15.248,228.27,0.886,0.672,5,0,1.586,0.128,0.399,0.284,3.344,12.166,1179.653,8.591,8.591,8.591,222.396,18185.899,1.83363,2804.967,2634.836,3413.072,2950.959,308.076,5569.011,7600,0.20843,4.99961,5,-0.000078,-0.00153,-0.00153,-0.00153,0.00577,0.05215,0.05215,0.05215,-0.01509,0.267235,0,0,0,0,0,0.00463886,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,4.8,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.025,15.037,223.425,0.1,14.869,14.925,15.162,15.008,224.983,0.88,0.209,5,0,1.446,0.057,0.288,0.155,1.544,12.13,1177.866,8.55,8.55,8.55,221.884,16730.99,1.68694,2652.757,2727.345,3304.635,2894.912,273.148,5493.08,7600,0.20334,4.92611,5,-0.014779,-0.01502,-0.01502,-0.01502,0.00215,-0.03373,-0.03373,-0.03373,-0.00906,0.277226,0,0,0,0,0,0.00334959,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,5.2,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.904,14.921,225.397,0.1,14.933,14.988,15.121,15.161,226.812,0.878,0.302,5,0,1.474,0.043,0.35,0.073,2.085,12.199,1187.111,8.572,8.572,8.572,223.32,17239.784,1.73824,2588.928,2891.997,3329.968,2936.964,262.002,5536.652,7600,0.20436,4.99191,5,-0.001618,0.02158,0.02158,0.02158,0.00808,0.09151,0.09151,0.09151,0.01484,0.271493,0,0,0,0,0,0.00376531,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,5.6,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.801,14.867,225.453,0.1,14.782,15.038,15.01,15.14,225.831,0.882,-0.156,5,0,1.27,0.001,0.273,-0.112,2.15,12.085,1173.753,8.546,8.546,8.546,223.305,16905.732,1.70456,2473.501,2974.623,3206.05,2884.725,274.149,5527.69,7600,0.20268,5.04439,5,0.008878,0.00133,0.00133,0.00133,0.00178,-0.05064,-0.05064,-0.05064,-0.01575,0.272672,0,0,0,0,0,0.00348985,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,6,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.756,14.726,225.761,0.1,14.848,14.865,14.896,14.756,225.697,0.889,-0.638,5,0,0.943,-0.017,0.288,-0.282,3.38,12.07,1170.091,8.538,8.538,8.538,222.4,17166.805,1.73088,2337.263,3047.887,3047.887,2811.013,315.833,5269.535,7600,0.20367,4.93316,5,-0.013367,0.01015,0.01015,0.01015,0.01928,0.02205,0.02205,0.02205,0.04374,0.30664,0,0,0,0,0,0.00368466,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,6.4,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.919,14.862,226.21,0.1,14.865,14.663,14.441,14.847,226.692,0.892,-0.745,5,0,0.842,-0.066,0.19,-0.269,2.288,12.038,1166.665,8.525,8.525,8.525,223.933,16574.785,1.67119,2448.165,3188.666,2954.726,2863.852,277.125,5392.828,7600,0.20316,5.09874,5,0.019747,-0.0184,-0.0184,-0.0184,0.01034,-0.07139,-0.07139,-0.07139,-0.02235,0.290417,0,0,0,0,0,0.00322261,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,6.8,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.665,14.649,227.821,0.1,14.57,14.725,14.772,14.648,227.055,0.881,-1.561,5,0,0.408,-0.051,0.074,-0.534,2.383,12.11,1174.502,8.512,8.512,8.512,225.456,15357.593,1.54846,2430.72,3189.21,2740.925,2786.951,268.172,5184.35,7600,0.19981,4.92793,5,-0.014414,-0.00603,-0.00603,-0.00603,0.01829,0.03094,0.03094,0.03094,0.01987,0.317849,0,0,0,0,0,0.00238728,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,7.2,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.412,14.711,225.912,0.1,14.435,14.518,14.589,14.721,227.695,0.877,-1.957,5,0,0.065,-0.092,-0.009,-0.726,2.285,12.123,1176.529,8.537,8.537,8.537,223.65,14831.547,1.49542,2492.219,3183.844,2571.355,2749.139,289.803,5105.513,7600,0.19933,4.98588,5,-0.002824,0.01133,0.01133,0.01133,0.0224,0.04339,0.04339,0.04339,0.01028,0.328222,0,0,0,0,0,0.00208323,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,7.6,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.363,14.625,227.196,0.1,14.38,14.758,14.558,14.604,226.194,0.899,-2.276,5,0,0.007,-0.138,-0.074,-0.791,1.383,12.229,1188.888,8.531,8.531,8.531,225.831,14277.039,1.43951,2640.217,3163.889,2493.707,2765.938,265.301,5027.777,7600,0.19887,5.05932,5,0.011863,0.0151,0.0151,0.0151,0.01758,0.00944,0.00944,0.00944,-0.01206,0.33845,0,0,0,0,0,0.00179518,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,8,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.382,14.416,226.752,0.1,14.602,14.417,14.364,14.42,226.096,0.897,-2.468,5,0,-0.252,-0.162,-0.049,-0.859,1.595,12.107,1173.579,8.508,8.508,8.508,225.159,14554.461,1.46749,2743.633,3102.195,2385.07,2743.633,239.041,5111.478,7600,0.20008,4.99672,5,-0.000656,0.01732,0.01732,0.01732,0.00086,0.00554,0.00554,0.00554,-0.04181,0.327437,0,0,0,0,0,0.00193753,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,8.4,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.554,14.574,227.185,0.1,14.46,14.494,14.497,14.417,227.31,0.872,-1.875,5,0,0.056,-0.166,0.047,-0.628,0.767,12.13,1178.274,8.488,8.488,8.488,226.413,13636.859,1.37497,2893.598,3032.717,2396.344,2774.22,251.917,5060.907,7600,0.19787,5.05052,5,0.010103,-0.02187,-0.02187,-0.02187,-0.00548,-0.09797,-0.09797,-0.09797,-0.01583,0.334091,0,0,0,0,0,0.00150908,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,8.8,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.373,14.556,224.648,0.1,14.61,14.402,14.505,14.538,225.399,0.863,-2.195,5,0,-0.313,-0.197,-0.016,-0.824,1.861,12.11,1176.415,8.503,8.503,8.503,222.81,15029.327,1.51537,3029.183,2952.567,2359.587,2780.446,280.572,5102.923,7600,0.20202,5.06697,5,0.013393,-0.00468,-0.00468,-0.00468,0.02315,0.04298,0.04298,0.04298,0.07156,0.328563,0,0,0,0,0,0.00219175,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,9.2,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.221,14.58,226.654,0.1,14.433,14.709,14.426,14.441,227.164,0.872,-2.13,5,0,-0.35,-0.194,-0.011,-0.767,2.303,12.097,1172.256,8.516,8.516,8.516,224.367,15315.691,1.54424,3154.766,2846.101,2400.041,2800.303,266.841,5168.356,7600,0.20273,5.08141,5,0.016281,0.0056,0.0056,0.0056,0.01554,0.0257,0.0257,0.0257,-0.01902,0.319953,0,0,0,0,0,0.0023612,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,9.6,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.535,14.548,227.249,0.1,14.672,14.474,14.314,14.54,227.513,0.879,-2.142,5,0,-0.441,-0.242,-0.054,-0.702,2.272,12.118,1175.977,8.47,8.47,8.47,224.987,15099.175,1.52241,3208.246,2701.495,2467.468,2792.403,277.229,5134.669,7600,0.20319,5.02582,5,0.005165,-0.03755,-0.03755,-0.03755,0.00943,-0.10789,-0.10789,-0.10789,-0.01527,0.324386,0,0,0,0,0,0.00223322,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,10,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.213,14.445,225.827,0.1,14.613,14.234,14.84,14.539,226.363,0.873,-2.337,5,0,-0.544,-0.235,-0.078,-0.775,1.893,12.121,1177.122,8.493,8.493,8.493,223.945,14933.761,1.50573,3223.72,2586.716,2586.716,2799.05,283.113,5189.193,7600,0.20269,4.92246,5,-0.015508,-0.00171,-0.00171,-0.00171,0.01152,0.0896,0.0896,0.0896,0.00523,0.317211,0,0,0,0,0,0.0021443,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,10.4,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.531,14.636,226.396,0.1,14.36,14.665,14.708,14.542,227.055,0.885,-1.57,5,0,-0.343,-0.297,0.047,-0.576,1.711,12.174,1183.82,8.536,8.536,8.536,224.692,14878.695,1.50018,3144.948,2435.516,2659.64,2746.701,265.498,5210.254,7600,0.20384,4.98173,5,-0.003653,0.01766,0.01766,0.01766,0.00608,0.04844,0.04844,0.04844,-0.01361,0.31444,0,0,0,0,0,0.00211528,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,10.8,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.558,14.563,227.231,0.1,14.808,14.573,14.832,14.577,228.3,0.9,-1.738,5,0,-0.439,-0.286,0.062,-0.611,2.46,12.12,1174.389,8.521,8.521,8.521,224.78,15708.129,1.58381,3104.488,2339.444,2791.603,2745.178,270.49,5232.036,7600,0.20579,5.07945,5,0.015889,0.01074,0.01074,0.01074,0.00805,-0.01732,-0.01732,-0.01732,0.00492,0.311574,0,0,0,0,0,0.0026078,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,11.2,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.56,14.617,226.158,0.1,14.413,14.55,14.329,14.47,228.477,0.888,-2.05,5,0,-0.741,-0.246,-0.043,-0.755,2.219,12.177,1182.668,8.518,8.518,8.518,223.946,15577.476,1.57063,3065.989,2375.65,2987,2809.546,289.264,5294.527,7600,0.20473,4.95777,5,-0.008446,0.00127,0.00127,0.00127,0.00696,-0.02366,-0.02366,-0.02366,-0.00272,0.303352,0,0,0,0,0,0.00252979,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,11.6,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.621,14.665,226.441,0.1,14.674,14.496,14.454,14.679,226.719,0.866,-0.646,5,0,-0.088,-0.255,0.175,-0.164,2.465,12.06,1169.613,8.531,8.531,8.531,223.991,15164.53,1.529,2879.326,2306.709,3039.528,2741.854,290.097,5080.74,7600,0.20398,4.95821,5,-0.008358,0.0083,0.0083,0.0083,0.0155,0.01756,0.01756,0.01756,0.02134,0.331482,0,0,0,0,0,0.00226745,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,12,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.646,14.737,227.569,0.1,14.552,14.758,14.68,14.633,227.573,0.897,-1.198,5,0,-0.63,-0.262,0.115,-0.447,2.136,12.108,1171.997,8.51,8.51,8.51,225.434,15282.258,1.54087,2820.132,2444.149,3196.115,2820.132,250.656,5295.169,7600,0.20452,5.08189,5,0.016378,-0.02208,-0.02208,-0.02208,0.00089,-0.07593,-0.07593,-0.07593,-0.03653,0.303267,0,0,0,0,0,0.00234989,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,12.4,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.64,14.652,227.857,0.1,14.858,14.539,14.539,14.509,226.553,0.875,-0.226,5,0,-0.231,-0.252,0.235,-0.079,2.557,12.058,1169.466,8.54,8.54,8.54,225.324,15136.94,1.52622,2643.652,2482.071,3221.198,2782.307,292.594,5161.719,7600,0.20407,4.95992,5,-0.008017,0.01777,0.01777,0.01777,0.02385,0.09961,0.09961,0.09961,0.05741,0.320826,0,0,0,0,0,0.00225685,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,12.8,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.984,14.765,226.763,0.1,14.73,14.519,14.346,14.775,228.766,0.876,0.412,5,0,0.038,-0.245,0.344,0.129,2.101,12.081,1171.417,8.547,8.547,8.547,224.668,14928.938,1.50524,2508,2586.54,3194.414,2762.985,287.619,5242.766,7600,0.20354,5.01165,5,0.00233,0.00989,0.00989,0.00989,0.00668,-0.01971,-0.01971,-0.01971,-0.04291,0.310162,0,0,0,0,0,0.00214537,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,13.2,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.575,14.657,228.386,0.1,14.254,14.289,14.718,14.921,228.998,0.899,0.749,5,0,0.239,-0.285,0.393,0.315,3.268,12.159,1181.671,8.529,8.529,8.529,225.13,15830.833,1.59618,2401.564,2735.16,3217.248,2784.657,288.394,5231.819,7600,0.20679,4.98048,5,-0.003905,0.00436,0.00436,0.00436,0.0126,-0.0138,-0.0138,-0.0138,0.0148,0.311603,0,0,0,0,0,0.00268766,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,13.6,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.605,14.78,228.406,0.1,14.441,14.672,14.593,14.679,228.673,0.876,0.633,5,0,-0.005,-0.218,0.371,0.3,2.894,12.208,1184.357,8.508,8.508,8.508,225.525,15135.394,1.52606,2395.609,2930.497,3177.518,2834.541,292.621,5262.376,7600,0.20388,4.98163,5,-0.003674,-0.03233,-0.03233,-0.03233,0.01207,-0.09172,-0.09172,-0.09172,-0.00135,0.307582,0,0,0,0,0,0.0022628,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,14,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.163,14.788,226.858,0.1,14.8,14.75,14.624,14.289,226.52,0.87,1.561,5,0,0.459,-0.187,0.532,0.594,1.651,12.153,1178.616,8.544,8.544,8.544,225.213,14647.578,1.47688,2442.417,3073.041,3073.041,2862.833,280.277,5352.547,7600,0.20223,4.97273,5,-0.005455,0.00168,0.00168,0.00168,0.00616,0.08502,0.08502,0.08502,-0.01477,0.295718,0,0,0,0,0,0.00200259,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,14.4,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.254,14.726,228.266,0.1,14.705,14.666,14.524,14.555,229.894,0.886,2.042,5,0,0.624,-0.22,0.595,0.671,2.373,12.25,1187.874,8.544,8.544,8.544,225.907,15783.251,1.59138,2418.954,3173.575,2935.175,2842.568,282.409,5306.389,7600,0.206,4.927,5,-0.014599,0.00826,0.00826,0.00826,0.01327,0.01644,0.01644,0.01644,0.01779,0.301791,0,0,0,0,0,0.0026617,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,14.8,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.764,14.243,227.479,0.1,14.367,14.376,14.238,14.616,228.603,0.881,1.56,5,0,0.22,-0.157,0.493,0.569,2.049,12.088,1172.375,8.458,8.458,8.458,225.438,14510.868,1.46309,2451.249,3201.206,2757.964,2803.473,265.155,5217.034,7600,0.20179,4.9077,5,-0.01846,-0.02187,-0.02187,-0.02187,0.00841,-0.07532,-0.07532,-0.07532,-0.01217,0.313548,0,0,0,0,0,0.0019227,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,15.2,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.23,14.465,227.605,0.1,14.684,14.499,14.453,14.745,228.598,0.892,2.692,5,0,0.779,-0.148,0.668,0.927,2.836,12.056,1168.461,8.488,8.488,8.488,224.779,16173.176,1.6307,2530.345,3262.555,2614.125,2802.342,306.809,5429.8,7600,0.20609,5.06677,5,0.013355,-0.01957,-0.01957,-0.01957,0.00974,0.00576,0.00576,0.00576,0.00334,0.285553,0,0,0,0,0,0.00293441,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,15.6,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.384,14.502,226.936,0.1,14.398,14.603,14.544,14.52,227.89,0.893,2.209,5,0,0.425,-0.147,0.609,0.763,2.097,12.077,1174.328,8.553,8.553,8.553,224.852,15143.214,1.52685,2686.983,3251.98,2528.912,2822.625,286.237,5349.564,7600,0.2038,5.00014,5,0.000028,0.03881,0.03881,0.03881,0.01258,0.14594,0.14594,0.14594,0.0071,0.29611,0,0,0,0,0,0.00227341,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,16,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.622,14.405,228.562,0.1,14.486,14.359,14.282,14.202,225.589,0.863,1.976,5,0,0.219,-0.083,0.636,0.598,2.687,12.019,1166.014,8.508,8.508,8.508,225.893,15424.764,1.55524,2768.698,3167.024,2370.372,2768.698,265.551,5172.303,7600,0.2036,4.92281,5,-0.015437,0.00453,0.00453,0.00453,0.01821,-0.08569,-0.08569,-0.08569,0.01407,0.319434,0,0,0,0,0,0.00242693,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,16.4,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,14.179,14.341,229.418,0.1,14.621,14.373,14.279,14.347,228.582,0.885,2.296,5,0,0.508,-0.052,0.644,0.837,2.474,12.106,1173.692,8.5,8.5,8.5,226.961,15627.846,1.57571,2954.244,3117.768,2369.754,2813.922,296.112,5323.147,7600,0.20391,4.99264,5,-0.001471,0.00186,0.00186,0.00186,0.01716,-0.00668,-0.00668,-0.00668,-0.00262,0.299586,0,0,0,0,0,0.00256361,9917.952
